# (a_i, b_i) = (0.200, 0.250)
# resolution: 150
# category labels: t=tipping, n=none(tip to periodic attractors), c=converge, ns=notSufficient
# load method: df = pd.read_csv('xxx.csv', comment='#')
# protocol s >=0
category,a,b
t,-0.960648590848374,-0.9867549668874173
t,-0.9345083570837924,-0.9867549668874173
t,-0.9083681233192108,-0.9867549668874173
t,-0.8822278895546292,-0.9867549668874173
t,-0.8560876557900476,-0.9867549668874173
t,-0.829947422025466,-0.9867549668874173
t,-0.8038071882608844,-0.9867549668874173
t,-0.7776669544963027,-0.9867549668874173
t,-0.7515267207317211,-0.9867549668874173
t,-0.7253864869671396,-0.9867549668874173
t,-0.699246253202558,-0.9867549668874173
t,-0.6731060194379763,-0.9867549668874173
t,-0.6469657856733948,-0.9867549668874173
t,1.0782896427889912,-0.9867549668874173
t,1.1044298765535725,-0.9867549668874173
t,1.1305701103181542,-0.9867549668874173
t,1.156710344082736,-0.9867549668874173
t,1.1828505778473173,-0.9867549668874173
t,1.208990811611899,-0.9867549668874173
t,1.2351310453764808,-0.9867549668874173
t,1.261271279141062,-0.9867549668874173
t,1.2874115129056438,-0.9867549668874173
t,1.3135517466702256,-0.9867549668874173
t,1.3396919804348069,-0.9867549668874173
t,1.3658322141993886,-0.9867549668874173
t,1.3919724479639703,-0.9867549668874173
t,1.418112681728552,-0.9867549668874173
t,1.4442529154931334,-0.9867549668874173
t,1.4703931492577151,-0.9867549668874173
t,1.4965333830222969,-0.9867549668874173
t,1.5226736167868782,-0.9867549668874173
t,1.54881385055146,-0.9867549668874173
t,1.5749540843160417,-0.9867549668874173
t,1.601094318080623,-0.9867549668874173
t,1.6272345518452047,-0.9867549668874173
t,1.6533747856097865,-0.9867549668874173
t,1.6795150193743678,-0.9867549668874173
t,1.7056552531389495,-0.9867549668874173
t,1.7317954869035312,-0.9867549668874173
t,1.7579357206681125,-0.9867549668874173
t,1.7840759544326943,-0.9867549668874173
t,1.810216188197276,-0.9867549668874173
t,1.8363564219618573,-0.9867549668874173
t,1.862496655726439,-0.9867549668874173
t,1.8886368894910208,-0.9867549668874173
t,1.9147771232556021,-0.9867549668874173
t,1.9409173570201839,-0.9867549668874173
t,1.9670575907847656,-0.9867549668874173
t,1.993197824549347,-0.9867549668874173
t,2.0193380583139287,-0.9867549668874173
t,2.0454782920785104,-0.9867549668874173
t,2.071618525843092,-0.9867549668874173
t,2.0977587596076734,-0.9867549668874173
t,2.123898993372255,-0.9867549668874173
t,2.150039227136837,-0.9867549668874173
t,2.1761794609014182,-0.9867549668874173
t,2.202319694666,-0.9867549668874173
t,2.2284599284305817,-0.9867549668874173
t,2.254600162195163,-0.9867549668874173
t,2.2807403959597448,-0.9867549668874173
t,2.3068806297243265,-0.9867549668874173
t,2.333020863488908,-0.9867549668874173
t,2.3591610972534895,-0.9867549668874173
t,2.3853013310180713,-0.9867549668874173
t,2.4114415647826526,-0.9867549668874173
t,2.4375817985472343,-0.9867549668874173
t,2.463722032311816,-0.9867549668874173
t,2.4898622660763974,-0.9867549668874173
t,2.516002499840979,-0.9867549668874173
t,2.542142733605561,-0.9867549668874173
t,2.568282967370142,-0.9867549668874173
t,2.594423201134724,-0.9867549668874173
t,2.6205634348993057,-0.9867549668874173
t,2.646703668663887,-0.9867549668874173
t,2.6728439024284687,-0.9867549668874173
t,2.6989841361930504,-0.9867549668874173
t,2.725124369957632,-0.9867549668874173
t,2.7512646037222135,-0.9867549668874173
t,2.7774048374867952,-0.9867549668874173
t,2.803545071251377,-0.9867549668874173
t,2.8296853050159583,-0.9867549668874173
t,2.85582553878054,-0.9867549668874173
t,2.8819657725451218,-0.9867549668874173
t,2.908106006309703,-0.9867549668874173
t,2.934246240074285,-0.9867549668874173
t,-0.947882507334551,-0.9735099337748344
t,-0.9220896499921143,-0.9735099337748344
t,-0.8962967926496775,-0.9735099337748344
t,-0.8705039353072408,-0.9735099337748344
t,-0.8447110779648039,-0.9735099337748344
t,-0.8189182206223672,-0.9735099337748344
t,-0.7931253632799304,-0.9735099337748344
t,-0.7673325059374937,-0.9735099337748344
t,-0.7415396485950569,-0.9735099337748344
t,-0.7157467912526202,-0.9735099337748344
t,-0.6899539339101834,-0.9735099337748344
t,-0.6641610765677466,-0.9735099337748344
t,-0.63836821922531,-0.9735099337748344
t,1.089753222717953,-0.9735099337748344
t,1.11554608006039,-0.9735099337748344
t,1.1413389374028267,-0.9735099337748344
t,1.1671317947452633,-0.9735099337748344
t,1.1929246520877004,-0.9735099337748344
t,1.218717509430137,-0.9735099337748344
t,1.2445103667725737,-0.9735099337748344
t,1.2703032241150103,-0.9735099337748344
t,1.2960960814574474,-0.9735099337748344
t,1.321888938799884,-0.9735099337748344
t,1.3476817961423206,-0.9735099337748344
t,1.3734746534847577,-0.9735099337748344
t,1.3992675108271944,-0.9735099337748344
t,1.425060368169631,-0.9735099337748344
t,1.4508532255120676,-0.9735099337748344
t,1.4766460828545047,-0.9735099337748344
t,1.5024389401969414,-0.9735099337748344
t,1.528231797539378,-0.9735099337748344
t,1.554024654881815,-0.9735099337748344
t,1.5798175122242517,-0.9735099337748344
t,1.6056103695666883,-0.9735099337748344
t,1.631403226909125,-0.9735099337748344
t,1.657196084251562,-0.9735099337748344
t,1.6829889415939987,-0.9735099337748344
t,1.7087817989364353,-0.9735099337748344
t,1.7345746562788724,-0.9735099337748344
t,1.760367513621309,-0.9735099337748344
t,1.7861603709637457,-0.9735099337748344
t,1.8119532283061823,-0.9735099337748344
t,1.8377460856486194,-0.9735099337748344
t,1.863538942991056,-0.9735099337748344
t,1.8893318003334927,-0.9735099337748344
t,1.9151246576759298,-0.9735099337748344
t,1.9409175150183664,-0.9735099337748344
t,1.966710372360803,-0.9735099337748344
t,1.9925032297032397,-0.9735099337748344
t,2.0182960870456768,-0.9735099337748344
t,2.0440889443881134,-0.9735099337748344
t,2.06988180173055,-0.9735099337748344
t,2.0956746590729867,-0.9735099337748344
t,2.1214675164154237,-0.9735099337748344
t,2.1472603737578604,-0.9735099337748344
t,2.173053231100297,-0.9735099337748344
t,2.198846088442734,-0.9735099337748344
t,2.2246389457851707,-0.9735099337748344
t,2.2504318031276074,-0.9735099337748344
t,2.276224660470044,-0.9735099337748344
t,2.302017517812481,-0.9735099337748344
t,2.3278103751549177,-0.9735099337748344
t,2.3536032324973544,-0.9735099337748344
t,2.3793960898397915,-0.9735099337748344
t,2.405188947182228,-0.9735099337748344
t,2.4309818045246647,-0.9735099337748344
t,2.4567746618671014,-0.9735099337748344
t,2.4825675192095384,-0.9735099337748344
t,2.508360376551975,-0.9735099337748344
t,2.5341532338944117,-0.9735099337748344
t,2.559946091236849,-0.9735099337748344
t,2.5857389485792854,-0.9735099337748344
t,2.611531805921722,-0.9735099337748344
t,2.6373246632641587,-0.9735099337748344
t,2.663117520606596,-0.9735099337748344
t,2.6889103779490324,-0.9735099337748344
t,2.714703235291469,-0.9735099337748344
t,2.7404960926339057,-0.9735099337748344
t,2.766288949976343,-0.9735099337748344
t,2.7920818073187794,-0.9735099337748344
t,2.817874664661216,-0.9735099337748344
t,2.843667522003653,-0.9735099337748344
t,2.8694603793460898,-0.9735099337748344
t,2.8952532366885264,-0.9735099337748344
t,-0.935201815683697,-0.9602649006622517
t,-0.9097540111752971,-0.9602649006622517
t,-0.8843062066668972,-0.9602649006622517
t,-0.8588584021584972,-0.9602649006622517
t,-0.8334105976500973,-0.9602649006622517
t,-0.8079627931416974,-0.9602649006622517
t,-0.7825149886332975,-0.9602649006622517
t,-0.7570671841248975,-0.9602649006622517
t,-0.7316193796164976,-0.9602649006622517
t,-0.7061715751080977,-0.9602649006622517
t,-0.6807237705996978,-0.9602649006622517
t,-0.6552759660912979,-0.9602649006622517
t,-0.629828161582898,-0.9602649006622517
t,1.0751747404798966,-0.9602649006622517
t,1.1006225449882963,-0.9602649006622517
t,1.1260703494966964,-0.9602649006622517
t,1.151518154005096,-0.9602649006622517
t,1.1769659585134962,-0.9602649006622517
t,1.2024137630218958,-0.9602649006622517
t,1.227861567530296,-0.9602649006622517
t,1.253309372038696,-0.9602649006622517
t,1.2787571765470958,-0.9602649006622517
t,1.3042049810554959,-0.9602649006622517
t,1.3296527855638955,-0.9602649006622517
t,1.3551005900722957,-0.9602649006622517
t,1.3805483945806953,-0.9602649006622517
t,1.4059961990890955,-0.9602649006622517
t,1.4314440035974951,-0.9602649006622517
